0	1	2	3
chr1	3100000	3900000	late
chr1	5550000	5900000	late
chr1	6500000	6750000	latemid
chr1	7850000	8400000	late
chr1	10500000	10600000	latemid
chr1	12000000	12300000	latemid
chr1	13350000	13550000	early
chr1	14050000	14350000	latemid
chr1	15150000	15300000	late
chr1	16200000	16300000	earlymid
chr1	16950000	17150000	latemid
chr1	18100000	20200000	late
chr1	21700000	22050000	late
chr1	22850000	23050000	late
chr1	23400000	23500000	late
chr1	24900000	30250000	late
chr1	31650000	32800000	late
chr1	35150000	35350000	latemid
chr1	36300000	36450000	early
chr1	36750000	36950000	early
chr1	37300000	37900000	early
chr1	38350000	38550000	earlymid
chr1	39750000	39800000	early
chr1	40950000	42050000	late
chr1	43200000	43400000	latemid
chr1	45000000	45150000	late
chr1	45500000	45550000	late
chr1	46150000	46600000	late
chr1	47300000	50400000	late
chr1	52300000	52750000	earlymid
chr1	53500000	53600000	earlymid
chr1	54050000	54150000	earlymid
chr1	54600000	54800000	earlymid
chr1	56050000	56450000	late
chr1	57500000	57650000	earlymid
chr1	58050000	58250000	early
chr1	58800000	59350000	early
chr1	59900000	60050000	early
chr1	60150000	60350000	early
chr1	60550000	60800000	early
chr1	61750000	61900000	late
chr1	63800000	64300000	earlymid
chr1	64850000	64950000	early
chr1	65650000	65950000	late
chr1	67500000	70550000	late
chr1	71850000	72000000	early
chr1	72400000	72700000	early
chr1	73250000	73450000	latemid
chr1	74150000	74300000	early
chr1	74700000	75050000	early
chr1	76350000	76600000	late
chr1	77600000	78000000	latemid
chr1	79100000	79400000	late
chr1	79850000	80150000	earlymid
chr1	80850000	82000000	late
chr1	83300000	83550000	latemid
chr1	85150000	85350000	earlymid
chr1	86850000	86950000	early
chr1	87450000	87600000	early
chr1	88100000	88850000	earlymid
chr1	89500000	89750000	earlymid
chr1	90750000	90900000	latemid
chr1	91450000	92050000	earlymid
chr1	92600000	92750000	earlymid
chr1	94650000	95600000	late
chr1	95850000	96500000	late
chr1	97200000	97250000	late
chr1	98400000	101350000	late
chr1	102250000	104800000	late
chr1	107200000	107850000	late
chr1	108400000	112150000	latemid
chr1	112500000	113600000	late
chr1	114350000	117000000	late
chr1	117650000	117900000	latemid
chr1	118850000	118950000	early
chr1	119250000	119350000	early
chr1	120750000	121050000	latemid
chr1	121950000	124950000	late
chr1	126250000	126450000	late
chr1	127200000	127600000	earlymid
chr1	129350000	129850000	late
chr1	131300000	131450000	early
chr1	132050000	132200000	early
chr1	132650000	132800000	early
chr1	133200000	133550000	early
chr1	133850000	134250000	early
chr1	134850000	134900000	early
chr1	135950000	136350000	early
chr1	136800000	136950000	early
chr1	137800000	138000000	late
chr1	139050000	139350000	earlymid
chr1	139700000	140000000	latemid
chr1	141050000	143000000	late
chr1	144400000	145950000	late
chr1	146750000	149750000	late
chr1	150650000	150800000	latemid
chr1	151950000	152450000	earlymid
chr1	152900000	153350000	early
chr1	153900000	154050000	earlymid
chr1	154450000	154600000	late
chr1	155250000	155550000	earlymid
chr1	156250000	156450000	early
chr1	156800000	156900000	early
chr1	157200000	157300000	early
chr1	158400000	158750000	late
chr1	159600000	159850000	latemid
chr1	160300000	160350000	earlymid
chr1	161550000	161600000	latemid
chr1	162150000	162350000	latemid
chr1	163200000	163400000	latemid
chr1	164050000	164250000	early
chr1	164900000	164950000	latemid
chr1	166650000	166750000	latemid
chr1	168250000	168350000	late
chr1	168750000	169200000	late
chr1	170300000	170550000	earlymid
chr1	171550000	171700000	latemid
chr1	172950000	173150000	latemid
chr1	173700000	174000000	late
chr1	175100000	175350000	late
chr1	176000000	176300000	latemid
chr1	177050000	177250000	earlymid
chr1	177300000	177500000	earlymid
chr1	177900000	178000000	earlymid
chr1	178600000	178900000	earlymid
chr1	179300000	179450000	early
chr1	180050000	180100000	early
